TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
26 junio 2023 13:58 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,66,58.4070,66,58.4070,0,24721,16980,68.6865

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19911,"Alta Verapaz",16,"Cahabón",12,3063,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19912,"Alta Verapaz",16,"Cahabón",12,3063,380,24,5,52,3,2,16,77,0,1,1,57,14,2,9,1,0,1,0,265,15,20,300,0,300,--,380,80,265,300,300,Algún campo sin dato,1,1d11c25a20aad17936bc6e84a3d780b1a1531dd592e0e2e7660be1c356b8ba05,26/06/2023 11:15:10,MOVIL
19913,"Alta Verapaz",16,"Cahabón",12,3064,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19914,"Alta Verapaz",16,"Cahabón",12,3064,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19915,"Alta Verapaz",16,"Cahabón",12,3064,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19916,"Alta Verapaz",16,"Cahabón",12,3065,369,24,8,60,2,0,11,81,0,0,1,36,9,2,3,5,0,0,0,242,0,2,244,1,245,--,369,124,242,244,245,Algún campo sin dato,1,4121937779fac446dc71ff8907886aa9c55a50500e71bee965c2483bb79c4b21,26/06/2023 11:03:09,MOVIL
19917,"Alta Verapaz",16,"Cahabón",12,3065,368,14,4,53,12,0,11,64,0,0,0,42,3,1,4,6,0,0,0,214,7,3,224,0,224,--,368,144,214,224,224,Algún campo sin dato,1,7f5119d9510262f40989791fdb7c8456f5577289686dcf0ea0fe42b199b545f4,26/06/2023 12:22:51,MOVIL
19918,"Alta Verapaz",16,"Cahabón",12,3066,380,9,6,37,9,10,10,74,0,1,0,58,9,6,0,33,0,0,2,264,16,5,285,0,285,--,380,95,264,285,285,Algún campo sin dato,1,c60702a8fa32cb7702a6fd1892168a29330aacc93e38b56a26821f5441136416,26/06/2023 11:05:58,ESCANER
19919,"Alta Verapaz",16,"Cahabón",12,3066,380,4,7,46,3,13,21,86,0,1,0,55,2,3,0,37,0,0,0,278,27,4,309,0,309,--,380,71,278,309,309,Algún campo sin dato,1,79eca2fafe170105ae42a8db7ea571649cd845212bad9f350f0dcf8307da6b67,26/06/2023 11:15:43,ESCANER
19920,"Alta Verapaz",16,"Cahabón",12,3066,380,1,2,53,12,1,15,70,0,0,1,45,2,4,2,49,0,0,0,257,18,6,281,0,281,--,380,96,257,281,281,Algún campo sin dato,1,df8e7111fe2fd930158d968fc95390f7e4b5cb975539892c2b217a0167c32f97,26/06/2023 11:41:56,ESCANER
19921,"Alta Verapaz",16,"Cahabón",12,3067,380,11,3,46,9,3,23,96,0,2,1,49,7,2,2,32,0,0,0,286,14,6,306,0,306,--,380,74,286,306,306,Algún campo sin dato,1,d4858974386761e0469b7a40a52d9bd406ace7380d562de3ca2c1490177e18e8,26/06/2023 11:05:23,ESCANER
